,coin_name,coin_mean,gecko_mean,mean_diff,coin_std,gecko_std,std_diff,coin_range,gecko_range,range_diff
0,DAG,12927857.7812,54900969.0,3.2467182056905286,272064.017,0.0,-1.0,1521728.0,0.0,-1.0
1,LAMB,12862964.8385,28579631.5677,1.2218541313398148,297431.5606,676738.488,1.2752746434670053,1602033.0,3656203.0,1.2822270202923411
2,ZT,14063830.3021,26620829.7865,0.8928577218771615,501000.8547,945062.6784,0.8863494334074634,1662978.0,3131425.0,0.8830225054089711
3,ENG,12090525.3594,35225986.8333,1.9135199493968154,414691.5245,5511578.4602,12.290791189536355,1677403.0,19477117.0,10.61147142338484
4,WOM,21535362.724,21501322.651,-0.0015806593757560954,706071.3011,729858.8075,0.033689949390296715,4527554.0,4975063.0,0.09884122861925004
5,NOIA,21203322.6042,21773310.974,0.026882030728858176,858485.1792,1246155.3864,0.4515747232366431,3851855.0,5058301.0,0.3132116863173718
6,GAS,13860644.1875,19049924.0885,0.3743895183226671,401650.6339,558311.2436,0.3900419829512935,1554614.0,2189565.0,0.408430002560121
7,RING,11890318.25,17824454.1875,0.49907292746348486,323212.7747,2200912.0146,5.809483370955387,1792774.0,20943546.0,10.682200879753946
8,COS,12845414.5729,18163966.5156,0.4140428409310013,310717.0909,505144.2946,0.6257370752823305,1359907.0,2202328.0,0.6194695666688972
9,PRQ,12148402.2865,11509464.1615,-0.05259441611593853,2201145.6808,2005767.1191,-0.08876221297128793,11301017.0,8937812.0,-0.20911436554780866
10,FSN,12295637.0729,16425986.3698,0.335919909835614,318714.4123,387144.8359,0.21470765349509102,1088554.0,1239402.0,0.13857649689404475
11,XCM,10626776.1198,7970050.3212,-0.2500029894908523,236080.9098,178826.8531,-0.24251879047951716,1065320.0,1005055.0,-0.056569856944392295
12,PPT,10569870.3438,7024682.3021,-0.33540506424277117,450509.027,246721.3565,-0.4523498049685029,2291692.0,1223441.0,-0.4661407379351152
13,ZNN,12752098.724,14929829.9792,0.17077434094055563,222358.0127,287757.9498,0.2941199928254261,1353742.0,1768488.0,0.30637004687747
14,BZ,14262653.3177,14485390.8438,0.015616836582824483,170331.5927,158171.9975,-0.0713877854792114,991052.0,950905.0,-0.04050947881644959
15,ARRR,14547534.7396,14139821.1562,-0.028026300723665586,167539.17,212512.7467,0.2684361913694569,808703.0,878793.0,0.08666964262529013
16,GRS,13810129.3802,13803391.9792,-0.0004878593686211334,301912.8621,291563.4972,-0.03427931101713749,1490920.0,1535459.0,0.029873500925602984
17,LTO,14111846.1146,14119887.8594,0.0005698577446702453,542329.8972,543948.1919,0.0029839673386163625,1711152.0,1755079.0,0.025671009939502745
18,QASH,12997366.8125,12779888.5729,-0.016732484566862025,148436.0017,202497.1004,0.3642047621928098,629308.0,907882.0,0.44266718363662944
19,BEL,11768668.75,13179856.0521,0.11991052956605656,265762.8195,301363.5525,0.13395678547879045,1046401.0,1191663.0,0.13882058598950114
20,ETP,12864862.5625,12960438.0938,0.007429191787761149,522253.5438,509148.1915,-0.02509385040193952,1569058.0,1558233.0,-0.006899043884929684
21,B2B,14732193.6042,12226059.6823,-0.17011274690182776,47388.9078,49006.9808,0.03414455143868069,550445.0,310778.0,-0.43540589886364667
22,DUSK,10707830.6875,11431748.151,0.06760636067444362,476945.8013,513909.4672,0.0775007680102205,1780535.0,2237522.0,0.2566571283350229
23,PNT,10033828.2083,12503077.9792,0.24609249028774802,218878.0092,277885.5705,0.2695910910176534,1029770.0,1220943.0,0.1856463093700535
24,ARPA,12362995.3385,12750785.7656,0.03136702849772728,556982.4898,555769.7853,-0.0021772758070643257,1973541.0,1993777.0,0.010253650671559394
25,KAN,14137013.2708,11966800.9375,-0.15351278885636852,185070.7155,175018.8743,-0.05431351563559496,613084.0,542635.0,-0.11490921309314873
26,AERGO,11484459.8802,11486461.8333,0.00017431843733905865,144866.7591,143900.9723,-0.006666724692400479,840488.0,836969.0,-0.004186853351862251
27,ZAP,11331429.8385,11906722.4375,0.0507696387127923,362418.4491,281482.4651,-0.22332192028576298,1666562.0,1326382.0,-0.20412081878741986
28,NKN,10256317.8125,11427933.7917,0.11423358759145315,316071.6207,350623.9978,0.10931818878100238,1260177.0,1537691.0,0.2202182709254335
29,DGD,11027904.8229,11026114.5938,-0.00016233628497416388,213060.0477,212554.0356,-0.002374974123316094,734036.0,770959.0,0.05030134761782801
30,XVS,12473903.4479,10920084.4792,-0.1245655760596405,583259.7605,508529.4946,-0.12812518702805317,3214187.0,2461815.0,-0.23407847769902623
31,NXS,11635908.1302,10744825.6875,-0.07658039516376659,192370.2672,175398.0081,-0.08822703917313057,1293690.0,1170969.0,-0.09486121095471094
32,COCOS,10588053.2552,10580176.5625,-0.0007439226560493622,116132.9704,120602.6321,0.03848744834998207,463970.0,529463.0,0.14115783348061298
33,BOT,12257184.4635,12419813.401,0.013268050096193282,1249396.9158,1326113.268,0.061402706561731565,4633210.0,4590885.0,-0.009135135251801667
34,CHR,11122214.6406,11307044.2865,0.016618061408858863,614744.0186,593883.2866,-0.03393401378269215,2100390.0,2047275.0,-0.025288160770142686
35,EMC2,10278055.1615,10282082.9479,0.0003918821544261697,196384.3213,193197.8387,-0.0162257484655931,964137.0,797658.0,-0.17267151867421332
36,ACH,10520100.2552,10529777.1875,0.0009198517186389256,442396.3487,442458.282,0.00013999505235978306,1866430.0,1875741.0,0.004988668206147565
37,1ST,10490430.4531,9984550.5469,-0.04822298841421783,526642.3608,659746.2328,0.2527405349577416,2051719.0,2195640.0,0.07014654540899606
