,name,rank,circulating_supply,all_time_high,all_time_low,7_days_high,7_days_low
0,conun,320,2896500643,0.095834,0.001588,0.010723 ,0.006461
1,monacoin,97,65729675,20.23,0.019599,1.43 ,1.26
2,loom-network,363,970520754,0.774454,0.007666,0.021197 ,0.016873
3,rsk-infrastructure-framework,121,656073345,0.223294,0.027361,0.101483 ,0.073823
4,unibright,131,148799999,0.593566,0.008132,0.414309 ,0.319080
5,dash,29,9788657,1642.22,0.213899,75.11 ,65.81
6,rchain,"$187,551 USD",482890386,3.14,0.008209,0.027128,0.024330
7,biki,477,314898567,0.051114,0.030278,0.032147 ,0.031159
8,dxchain-token,98,50000000000,0.002976,0.000122,0.001794 ,0.001584
9,iota,28,2779530283,5.69,0.079620,0.290756 ,0.250259
10,huobi-pool-token,326,5206946653,0.018703,0.002485,0.004108 ,0.003724
11,milk-alliance,391,90072664,0.291663,0.135195,0.177961 ,0.141512
12,bloomzed-token,333,38000000,5.35,0.123319,0.511235 ,0.430464
13,loki,308,51109723,1.21,0.100628,0.476337 ,0.407947
14,fnb-protocol,329,2373943413,0.368307,0.000948,0.008793 ,0.005187
15,renbtc,209,21828,15389.21,9011.76,"13,656.51 ","12,869.58"
16,tap,257,1231911016,0.274951,0.016624,0.058693 ,0.029669
17,breezecoin,263,100000000,0.752381,0.001933,0.431506 ,0.180738
18,trueusd,53,252920440,1.36,0.917877,1.00 ,0.998036
19,arpa-chain,467,864580274,0.062323,0.003471,0.017951 ,0.012593
20,amp,389,4224314276,0.012408,0.003511,0.005677 ,0.003511
21,extstock-token,291,601588625,1.26,0.003172,0.043886 ,0.039410
22,yflink,323,50115,1956.97,12.75,484.62 ,352.65
23,status,107,3470483788,0.675945,0.006196,0.024213 ,0.021241
24,monero,14,17742853,495.84,0.212967,138.80 ,119.44
25,project-pai,433,1482115637,1.54,0.005972,0.012549 ,0.008375
26,nimiq,375,6804269623,0.013658,0.000283,0.003132 ,0.002032
27,storj,116,198805219,3.13,0.048353,0.414833 ,0.314448
28,terra-krw,229,91640233726,0.000882,0.000768,0.000882 ,0.000870
29,bittorrent,47,989992640248,0.001861,0.000139,0.000337 ,0.000291
30,origintrail,182,319738990,0.478831,0.003785,0.139886 ,0.079299
31,bitcoin-bep2,100,5001,85563.99,1602.69,"16,079.97 ","11,898.51"
32,wink-tronbet,192,313607571387,0.000472,0.000041,0.000083 ,0.000079
33,xdai,185,3099733,41.26,1.07,14.77 ,8.24
34,sologenic,222,200001808,0.907103,0.130458,0.775220 ,0.550370
35,bitcoin,1,18529618,20089.00,65.53,"13,837.70 ","12,752.65"
36,vidt-datalink,366,49428303,1.22,0.042714,0.372286 ,0.294353
37,bitcoin-cash,5,18558325,4355.62,75.03,279.13 ,254.49
38,crypto-com-coin,16,21004566210,0.201749,0.011487,0.105030 ,0.086837
39,attila,242,450382736,0.601985,0.026677,0.152329 ,0.143506
40,avalanche,"$24,600,667 USD",24500000,11.46,3.44,4.48,3.61
41,cryptonex,224,55686329,10.00,0.217810,1.92 ,1.74
42,level01,397,159960195,0.811044,0.050574,0.108595 ,0.050574
43,fetch,169,746113681,0.432695,0.008270,0.057488 ,0.043563
