,name,rank,circulating_supply,all_time_high,all_time_low,7_days_high,7_days_low
44,wixlar,415,2392461535,0.131042,0.000705,0.007130 ,0.003888
45,bzx-protocol,401,140610067,1.66,0.098164,0.139964 ,0.101685
46,bitcoin-sv,10,18556564,441.20,36.87,184.54 ,162.40
47,medibloc,428,2677017234,0.349055,0.001558,0.006179 ,0.004681
48,egoras,538,65160356358,0.004494,0.000023,0.000417 ,0.000095
49,yusra,250,15904063,3.61,3.11,3.61 ,3.11
50,bitcoin-diamond,95,186492898,99.37,0.266371,0.549419 ,0.463898
51,idex,292,536006663,0.164440,0.008559,0.072444 ,0.043633
52,ignis,365,761143950,2.62,0.011237,0.023638 ,0.020549
53,kava,135,33485395,5.52,0.299967,2.04 ,1.40
54,hypercash,151,44855967,43.17,0.567814,1.11 ,0.867596
55,centrality,244,1181618395,0.541558,0.011004,0.057247 ,0.050622
56,lto-network,425,243237752,0.264045,0.019695,0.067162 ,0.053293
57,eos,13,937327317,22.89,0.480196,2.74 ,2.58
58,celer-network,415,3973460117,0.030469,0.001014,0.004447 ,0.003411
59,nkn,508,583666666,0.545913,0.006411,0.020179 ,0.015452
60,darma-cash,246,210173361,1.83,0.093280,0.384510 ,0.252304
61,cryptaldash,1102,1000000000,22.01,0.000445,21.02 ,0.001001
62,1irstcoin,273,34967353,14.81,0.160952,0.959131 ,0.625153
63,energy-web-token,62,30062138,13.70,0.500661,7.04 ,5.69
64,troy,293,9176552190,0.010834,0.001330,0.003036 ,0.002543
65,zbg-token,416,264015942,0.130757,0.024647,0.057069 ,0.050696
66,divi,111,1969980181,0.083597,0.001028,0.037048 ,0.030512
67,flexacoin,147,7608049786,0.026710,0.000190,0.026710 ,0.000190
68,near-protocol,81,174876443,1.69,0.623212,0.849568 ,0.623212
69,counos-x,203,17732426,48.21,14.86,48.21 ,37.82
70,mindol,227,170719690,5.69,0.122408,0.672818 ,0.478348
71,doctors-coin,221,229741603,0.623453,0.126241,0.618268 ,0.431138
72,zcoin,163,11156518,169.99,0.275101,4.28 ,3.14
73,molecular-future,370,85481225,2.02,0.019169,0.202324 ,0.182885
74,swissborg,117,923438697,0.172034,0.004770,0.078505 ,0.066270
75,nxm,76,5350132,82.35,6.84,29.43 ,22.26
76,veruscoin,333,58239648,0.523920,0.069875,0.404355 ,0.308997
77,huobi-token,24,207039130,6.10,0.889694,4.51 ,4.16
78,0x,55,743937911,2.53,0.103962,0.386113 ,0.323264
79,uquid-coin,114,10000000,8.96,0.037075,6.87 ,4.94
80,zb-token,77,463288810,0.439128,0.106436,0.273456 ,0.254651
81,bounce-token,483,26489,949.15,131.61,573.65 ,360.37
82,vitae,228,19471178,4.35,0.161344,4.35 ,3.72
83,gleec,350,12776795,6.24,0.062697,1.63 ,0.912104
84,helleniccoin,270,69861828,0.980676,0.000060,0.516084 ,0.374165
85,theta-fuel,139,4962631792,0.025061,0.000889,0.010475 ,0.008866
86,the-sandbox,312,606878710,0.086577,0.033197,0.041938 ,0.033197
87,gatetoken,158,76886100,0.925205,0.266693,0.514809 ,0.471427
88,injective-protocol,506,13458281,1.22,0.662174,1.22 ,0.662174
89,nano,86,133248297,37.62,0.006658,0.869612 ,0.744294
90,envion,,,,,,
91,levolution,465,54973167,0.554909,0.030279,0.246373 ,0.180621
92,creditcoin,211,552415092,0.685723,0.125204,0.552439 ,0.474078
93,monolith,507,33812088,4.30,0.081872,0.360534 ,0.268013
94,bonorum,303,624647,120.19,1.81,37.26 ,34.54
95,ravencoin,99,7363550000,0.080258,0.008794,0.012689 ,0.010706
96,waykichain,175,189000000,2.85,0.092051,0.210677 ,0.163932
97,latoken,436,380104462,2.00,0.018778,0.033112 ,0.029436
98,band-protocol,91,20494033,17.69,0.204181,6.09 ,4.22
99,xrp,4,45266091298,3.84,0.002802,0.258408 ,0.236130
100,neutrino-usd,254,46788565,1.20,0.734190,0.997934 ,0.988399
101,ultiledger,277,2338828294,0.037141,0.005689,0.013636 ,0.011754
102,bitmax-token,280,660615274,0.341468,0.014093,0.042290 ,0.039406
103,leverj,626,118090511,0.423803,0.003447,0.100026 ,0.036714
104,constellation,421,1266911931,0.038461,0.000897,0.011474 ,0.009580
105,aragon,78,39609523,11.45,0.285450,3.77 ,2.90
106,thorenext,302,47950305,25.32,0.000453,1.05 ,0.433596
107,streamr,196,692329898,0.374587,0.004854,0.044870 ,0.034628
108,anchor,474,12814136,1.02,0.513862,0.811183 ,0.784831
109,btu-protocol,273,90014374,1.22,0.085045,0.421066 ,0.322546
110,bella-protocol,461,14500000,10.03,0.769345,0.916947 ,0.769345
111,iqeon,493,5491860,1.99,0.102802,1.98 ,1.72
112,ren,59,884532525,0.593227,0.015394,0.345011 ,0.239727
113,metal,335,65588845,14.82,0.115232,0.330958 ,0.284583
114,hedera-hashgraph,66,5810104706,0.416009,0.010012,0.032898 ,0.028773
115,repo,431,109958607,0.768848,0.019302,0.140341 ,0.106079
116,harmony,190,6255461110,0.030689,0.001257,0.004957 ,0.004057
117,basic,373,2684444366,0.014090,0.003020,0.007240 ,0.005202
118,quarkchain,150,9090277594,0.341594,0.001365,0.005584 ,0.004454
119,playfuel,266,500000000,0.542256,0.035474,0.107340 ,0.059260
120,algorand,52,1091509900,3.28,0.102403,0.313541 ,0.240685
121,invictus-hyperion-fund,420,118013531,0.177607,0.012417,0.144529 ,0.110027
122,nexalt,200,19400197,1.25,0.178246,1.25 ,0.577233
123,flamingo,311,150000000,0.307385,0.138787,0.233037 ,0.138787
124,trust-wallet-token,362,250926200,0.185179,0.006478,0.102304 ,0.065376
125,enigma,448,24502389,8.30,0.070056,0.568177 ,0.474954
126,hex,201,388033704645,0.009657,0.000015,0.009657 ,0.006279
127,ampleforth,87,109119872,4.04,0.294547,1.28 ,0.870678
128,morpheus-network,465,47178310,0.821640,0.023066,0.291299 ,0.187927
129,waltonchain,342,69656288,45.96,0.142135,0.341822 ,0.257933
130,global-digital-content,348,3209198933,0.006605,0.000178,0.006605 ,0.000876
131,library-credit,504,485530171,2.50,0.005108,0.021985 ,0.018428
132,pnetwork,486,23571895,1.41,0.380844,0.478594 ,0.389358
133,vertcoin,408,57170647,10.00,0.005343,0.403700 ,0.245441
134,nectar,285,157517510,0.575364,0.033203,0.165053 ,0.153946
135,trustswap,354,92124513,1.74,0.012528,0.240380 ,0.182309
136,beam,354,73695840,3.21,0.148340,0.256696 ,0.226649
137,nash-exchange,324,23442586,3.43,0.403928,0.979606 ,0.824541
138,tratin,255,112002966735,0.003158,0.000077,0.000919 ,0.000176
139,haven-protocol,194,13802038,7.29,0.076520,1.88 ,1.66
140,digitex-futures,188,931035715,0.160608,0.004417,0.029982 ,0.017553
141,bluzelle,391,247678948,0.913922,0.006067,0.091537 ,0.059263
142,xinfin-network,230,12198000000,0.019188,0.000157,0.008558 ,0.005105
143,stasis-euro,159,31979207,1.38,0.980801,1.16 ,1.14
144,ardor,133,998999495,2.55,0.008368,0.057038 ,0.047257
145,nest-protocol,237,1748764436,0.238237,0.027319,0.054375 ,0.039518
146,kin,167,1518114145968,0.001493,0.000002,0.000039 ,0.000014
147,akropolis,339,1995847438,0.050008,0.000534,0.012496 ,0.008705
148,kcash,287,445499083,0.318003,0.002173,0.056635 ,0.035713
149,ethereum,2,113215739,1432.88,0.420897,418.96 ,381.15
150,elitium,341,16691713,1.74,0.409608,1.15 ,1.06
151,wrapped-bitcoin,18,117183,40826.50,3330.12,"13,763.17 ","12,717.31"
152,casinocoin,422,39999641296,0.003446,0.000114,0.000462 ,0.000270
153,digixdao,470,146187,597.66,4.10,80.50 ,72.69
154,aelf,138,544480200,2.77,0.035013,0.097875 ,0.084541
155,celsius,43,238863520,1.46,0.022345,1.35 ,1.21
156,bytom,102,1383219944,1.17,0.031290,0.064954 ,0.056846
157,metadium,485,1245430304,0.042031,0.002862,0.008826 ,0.007623
158,buggyra-coin-zero,316,2010775988,0.099331,0.001176,0.010486 ,0.009302
159,liquid-apps,518,694474507,0.093018,0.002375,0.016990 ,0.012547
160,groestlcoin,425,76199919,2.69,0.000060,0.200266 ,0.169200
161,darwinia-network,469,309771175,0.238817,0.003566,0.043880 ,0.033858
162,kyber-network,68,198345999,6.00,0.113539,0.949451 ,0.793166
163,firmachain,499,184275043,0.131373,0.012467,0.073482 ,0.049469
164,wax,132,1394791256,5.01,0.015961,0.039537 ,0.033931
165,axel,253,261181770,0.202141,0.100024,0.201311 ,0.170750
166,celo-dollar,380,15361961,1.00,0.330333,1.00 ,0.330333
167,zenon,435,4684182,4.76,0.175244,2.90 ,2.32
168,civic,360,670000000,1.66,0.010813,0.033109 ,0.024959
169,obyte,330,753681,999.72,9.29,29.11 ,23.80
170,fantom,168,2130160794,0.056356,0.001935,0.026193 ,0.015760
171,bitcoinpos,206,3752714,189.50,1.42,189.50 ,77.44
172,aeternity,174,323847345,5.86,0.054500,0.112422 ,0.095809
173,bigone-token,311,9449081034,11.92,0.000803,0.002456 ,0.002182
174,ankr,157,5829566044,0.018332,0.000711,0.010581 ,0.006618
175,compound,38,4050589,381.89,61.25,111.66 ,91.03
176,cortex,325,249938725,2.41,0.034133,0.089106 ,0.072918
177,sharetoken,160,1949979165,0.051886,0.000159,0.022611 ,0.016129
178,orbs,187,2229950518,0.053365,0.004628,0.014526 ,0.011734
179,sun,370,1677831,35.70,9.53,11.56 ,9.53
180,xenioscoin,269,76274958,0.458567,0.064415,0.458567 ,0.436878
181,wazirx,327,233817289,0.229163,0.055241,0.093974 ,0.082678
182,apm-coin,153,361875000,1.07,0.037293,0.184285 ,0.106648
183,cybervein,74,1060404496,0.162210,0.002944,0.140946 ,0.102373
184,redd,176,28808713174,0.032391,0.000006,0.001326 ,0.000837
185,dinastycoin,479,1983946332,0.013609,0.000034,0.005481 ,0.004769
186,bancor,148,69398354,10.00,0.117415,1.01 ,0.582217
187,ize,202,4160881000,0.550251,0.000402,0.550251 ,0.071149
188,contentos,430,2144877253,0.085274,0.004264,0.006983 ,0.005736
189,ecoreal-estate,412,208919605,0.257566,0.013944,0.069827 ,0.065349
190,prizm,320,2266866396,2.89,0.002642,0.010732 ,0.008522
191,yfdai-finance,440,15484,1004.91,108.15,929.67 ,448.01
192,orion-protocol,346,12487600,7.11,0.536295,1.72 ,1.39
193,hedgetrade,58,339231468,3.04,0.056640,0.853221 ,0.588581
194,stem-cell-coin,283,320658118,0.211679,0.001655,0.087753 ,0.002718
195,truechain,396,79575543,3.71,0.156306,0.209219 ,0.181777
196,noia-network,336,321395830,0.147049,0.002947,0.073726 ,0.057409
197,aurora,452,6542330148,0.061199,0.000706,0.003627 ,0.001551
198,susd,300,22510653,2.36,0.387605,1.00 ,0.992920
199,qtum,61,97349208,99.87,0.770018,2.33 ,1.95
200,darcio-ecosystem-coin,,,,,,
201,paxos-standard,54,244951954,1.10,0.872764,1.00 ,0.995413
202,metacoin,220,1027190195,0.173392,0.018241,0.164157 ,0.092427
203,whitecoin,236,250183629,0.445895,0.000066,0.294408 ,0.269055
204,everipedia,320,9526598697,0.076530,0.000624,0.004700 ,0.002150
205,stpay,218,4330437,54.23,17.25,54.23 ,29.97
206,chainlink,6,389509556,19.85,0.126297,12.92 ,10.89
207,contracoin,293,26246493,2.37,0.308407,0.939075 ,0.848886
208,harvest-finance,282,252571,2236.04,71.96,245.97 ,78.12
209,decentraland,88,1484082834,0.288857,0.007883,0.077139 ,0.062195
210,syscoin,299,598587121,0.981476,0.000199,0.057696 ,0.037870
211,nuco-cloud,511,6497606,1.52,0.937493,1.52 ,1.24
212,bitcoinhd,386,6083016,42.81,2.41,3.05 ,2.41
213,agavecoin,295,390619593,0.082571,0.000454,0.064270 ,0.057161
214,lambda,443,839304986,0.274357,0.006601,0.018034 ,0.014176
215,dia,177,28271916,5.17,0.791555,1.48 ,1.08
216,serum,130,50000000,3.78,0.110006,1.22 ,0.941749
217,mxc,164,2560938083,0.042847,0.001232,0.017043 ,0.011622
218,wirex-token,189,3000500000,0.064081,0.006504,0.009086 ,0.008514
219,theta,32,1000000000,0.800326,0.039771,0.730878 ,0.581779
220,nebulas-token,383,57213183,16.64,0.146600,0.328043 ,0.264395
221,dragonchain,397,360492820,5.27,0.020523,0.057562 ,0.039180
222,rlc,121,80070793,5.40,0.148783,0.970220 ,0.715952
223,elastos,191,17244540,93.96,0.839188,1.69 ,1.45
224,litecoin,8,65769515,375.29,1.11,60.30 ,53.10
225,ontology,40,775584099,10.00,0.224974,0.553693 ,0.426883
226,cosmos,23,205069735,8.86,1.13,5.59 ,4.35
227,apollo-currency,389,14685096531,0.009139,0.000375,0.001181 ,0.000641
228,mx-token,197,155671626,0.221294,0.042057,0.168640 ,0.153231
229,quant,68,12072738,17.20,0.163629,17.20 ,12.42
230,standard-tokenization-protocol,409,916326558,0.094944,0.005800,0.018408 ,0.015240
231,helium,144,52385529,4.03,0.253391,1.14 ,0.819740
232,platincoin,446,5001073,61.24,1.47,2.65 ,2.15
233,nervos-network,100,21208483866,0.009910,0.002565,0.004172 ,0.003689
234,filecoin,26,24302231,131.86,1.83,40.24 ,20.91
235,bytecoin-bcn,287,184066828814,0.030134,0.000006,0.000148 ,0.000116
236,siacoin,80,44971822992,0.111708,0.000011,0.002840 ,0.002514
237,solve,166,375651077,0.565909,0.033678,0.102674 ,0.090025
238,cocos-bcx,471,39326586220,0.002425,0.000194,0.000277 ,0.000259
239,ark,162,124808951,9.99,0.030143,0.351046 ,0.282069
240,secret,344,56395809,0.606587,0.311891,0.403170 ,0.311891
241,pancakeswap,364,42646549,1.17,0.328158,0.663195 ,0.328158
242,waves,44,103400446,18.07,0.122684,3.55 ,2.96
243,yfvalue,458,4492544,83.81,2.50,3.76 ,2.50
244,metaverse-dualchain-network-architecture,262,18023643044,0.054589,0.002199,0.002972 ,0.002199
245,math,251,112219178,0.623420,0.140579,0.508649 ,0.456295
246,alchemy-pay,566,952055306,0.041452,0.007497,0.012192 ,0.007497
247,elrond-egld,85,13710605,20.43,6.80,9.54 ,7.17
248,keep-network,264,134444323,2.51,0.229206,0.445626 ,0.269758
249,adx-net,318,102021811,3.71,0.034880,0.328693 ,0.193270
250,cardano,12,31112484646,1.33,0.017354,0.109662 ,0.090776
251,power-ledger,173,424067509,2.01,0.031830,0.089431 ,0.075090
252,s4fe,267,895310762,4.26,0.002149,0.050221 ,0.039205
253,bhex-token,198,195639532,0.218622,0.019319,0.124877 ,0.116129
254,hyperion,165,316765917,1.08,0.024859,0.165666 ,0.092662
255,coinmetro-token,472,279688116,0.096376,0.015168,0.040694 ,0.034625
256,seele,439,699592066,0.469941,0.002548,0.023926 ,0.012364
257,chainx,343,7364800,19.73,0.544636,3.01 ,2.40
258,yep-coin,456,4035458,2.93,2.49,2.93 ,2.78
259,singularitynet,172,843526216,1.86,0.007497,0.043341 ,0.036369
260,terra-luna,79,386564046,1.83,0.119867,0.327893 ,0.299725
261,vethor-token,372,29083975515,0.042012,0.000153,0.000660 ,0.000541
262,mobilian-coin,245,115523300,0.756077,0.505163,0.556332 ,0.525868
263,sora,392,350000,139.38,0.639872,52.82 ,38.66
264,pundi-x,161,234544488396,0.015621,0.000079,0.000167 ,0.000150
265,unus-sed-leo,20,999498893,2.00,0.803558,1.29 ,1.24
266,usd-coin,11,2880657773,1.11,0.929222,1.00 ,0.997837
267,audius,368,120000000,0.530863,0.092558,0.530863 ,0.092558
268,grin,402,56213100,10.00,0.257168,0.292859 ,0.257168
269,vestchain,251,8420042616,0.231257,0.001202,0.010437 ,0.006159
270,mixin,240,523103,2387.60,54.04,145.59 ,132.02
271,okb,49,60000000,7.51,1.25,4.77 ,4.29
272,energi,124,34483176,9.90,0.244958,1.81 ,1.59
273,everus,234,465776858,6.32,0.001059,0.176038 ,0.056816
274,quantstamp,344,713801947,0.866421,0.004076,0.027657 ,0.020504
275,bosagora,195,282119914,0.229702,0.006872,0.094050 ,0.084193
276,tomochain,145,75866000,2.30,0.140721,0.710682 ,0.554548
277,parsiq,382,111174223,0.312386,0.051095,0.194547 ,0.069832
278,synchrobitcoin,392,80779427,0.651826,0.005704,0.194020 ,0.005704
279,polymath-network,199,533500099,1.66,0.010747,0.065742 ,0.040783
280,advanced-internet-blocks,259,24213254183,0.116509,0.000102,0.001898 ,0.001085
281,uniswap,35,211352864,8.44,0.418998,3.12 ,2.29
282,golem-network-tokens,103,990670000,1.25,0.008797,0.096189 ,0.077468
283,utrust,151,450000000,1.42,0.005431,0.105627 ,0.086320
284,venus,451,4227273,4.77,2.22,4.00 ,2.56
285,travala,353,42030171,2.46,0.043948,0.479960 ,0.383965
286,chromia,487,443545002,0.128535,0.008369,0.031908 ,0.021761
287,wanchain,149,168794745,9.92,0.075754,0.273301 ,0.240975
288,maidsafecoin,139,452552412,1.20,0.004059,0.115818 ,0.086717
289,onotoken,759,17942419249,0.012884,0.000002,0.010133 ,0.000060
290,elamachain,No Data,No,0.397568,0.002849,0.024819 ,0.015412
291,tron,15,71659657369,0.300363,0.001091,0.027377 ,0.025776
292,usdj,457,11369035,1.25,0.902469,1.01 ,0.990268
293,hive-blockchain,134,409471020,0.987244,0.086943,0.141403 ,0.115433
294,basid-coin,214,358541063,0.686583,0.543821,0.686583 ,0.645798
295,verge,119,16380326943,0.300588,0.000002,0.004813 ,0.003653
296,v-systems,171,2123366064,0.297542,0.013573,0.017380 ,0.015115
297,pax-gold,110,37068,3487.68,1387.98,"1,922.44 ","1,874.88"
298,perpetual-protocol,366,14726351,2.26,1.01,1.17 ,1.07
299,uni-coin,275,60009414,9.03,0.151342,0.498654 ,0.498017
300,kusama,56,8470098,60.04,0.914346,36.70 ,26.09
301,ocean-protocol,63,414026837,0.752522,0.013653,0.577197 ,0.384789
302,zcash,33,10361863,5941.80,18.94,65.05 ,55.75
303,botxcoin,219,1632102305,0.120954,0.006616,0.105340 ,0.097368
304,dusk-network,450,273821673,0.614791,0.011059,0.045119 ,0.036712
305,tether,3,16532560602,1.21,0,1.00 ,1.00
306,cipher-core-token,213,7431399,61.30,4.29,40.21 ,32.66
307,switcheo,306,1060247397,0.092481,0.001691,0.023219 ,0.019731
308,amo-coin,445,18122814915,0.003932,0.000156,0.000744 ,0.000600
309,qash,426,350000000,2.49,0.008440,0.038635 ,0.036171
310,idea-chain-coin,223,51252304,22.16,0.398946,3.69 ,1.84
311,gas,427,10128375,97.49,0.599114,1.53 ,1.26
312,funfair,321,6548879189,0.337854,0.001051,0.003868 ,0.003127
313,celo,60,124447717,4.73,0.795534,2.01 ,1.67
314,erc20,334,1126570972,5.93,0.012952,0.018804 ,0.015085
315,sentivate,383,3116568100,0.011551,0.000408,0.005605 ,0.002904
316,homeros,208,355984626,0.900057,0.324853,0.900057 ,0.863370
317,dogecoin,41,126880105573,0.018773,0.000085,0.002893 ,0.002518
318,davinci-coin,381,4596901499,0.018726,0.000435,0.004513 ,0.003166
319,bora,337,782507415,0.106875,0.006210,0.026742 ,0.023469
320,largo-coin,217,17105967,24.09,0.495318,10.29 ,9.71
321,tezos,19,748352913,4.48,0.314631,2.26 ,1.81
322,proton,418,1864409167,0.100900,0.005881,0.010152 ,0.005881
323,poseidon-network,216,2152875408,0.119478,0.001164,0.096283 ,0.067151
324,xensor,358,4637982768,0.123932,0.001663,0.004711 ,0.003330
325,icon,63,571901828,12.64,0.106937,0.379507 ,0.323540
326,numeraire,95,3549835,99.79,1.93,26.99 ,23.61
327,zelwin,210,51759205,7.47,0.922364,5.70 ,5.28
328,fabrk,297,4794443397,0.054305,0.003529,0.005818 ,0.004512
329,yearn-finance,46,29968,43873.82,739.44,"15,461.12 ","10,095.36"
330,husd,48,274935684,1.09,0.895969,1.00 ,0.999301
331,king-dag,441,49001545,0.307277,0.095856,0.265014 ,0.240289
332,revain,75,11484410729,4.49,0.010173,0.010649 ,0.010544
333,kardiachain,289,1750000000,0.047778,0.000401,0.017186 ,0.013494
334,vidy,474,9437935682,0.002769,0.000500,0.001232 ,0.001075
335,cvault-finance,271,10000,8057.36,3100.38,"6,058.18 ","3,100.38"
336,multi-collateral-dai,22,927959488,1.14,0.945505,1.02 ,0.992384
337,bitball-treasure,260,450000,2476.04,0.641418,164.11 ,90.44
338,blockstack,90,652288448,0.319328,0.045008,0.162286 ,0.138133
339,greenpower,270,3231699360,1.68,0.001373,0.022536 ,0.005360
340,ino-coin,205,180003180,3.02,0.144225,3.02 ,2.71
341,newyork-exchange,238,7090060,11.14,1.58,10.84 ,9.82
342,aion,183,468225632,10.00,0.040638,0.078998 ,0.059442
343,nuls,328,99416362,8.54,0.094801,0.246693 ,0.194060
344,cryptoindex-com-100,294,62409480,1.00,0.133025,0.469377 ,0.373800
345,mimblewimblecoin,248,10658935,32.49,2.78,5.82 ,4.85
346,cryptobucks,348,3932014867,0.093820,0.000615,0.009389 ,0.004265
347,the-midas-touch-gold,82,6234873779,0.079961,0.000578,0.020632 ,0.016149
348,stakenet,416,107922085,0.569360,0.022132,0.208447 ,0.103791
349,folgory-coin,428,17525493,50.59,0.060115,0.749179 ,0.695578
350,usdk,278,28600072,1.12,0.906511,1.00 ,0.994390
351,loopring,70,1145686385,2.59,0.019861,0.172442 ,0.121079
352,bitshares,129,2997480000,0.916782,0.002387,0.019452 ,0.016900
353,crypto-com,154,15793831,27.10,0.641730,2.86 ,2.35
354,swipe,115,76766934,5.02,0.160996,1.15 ,0.799047
355,deviantcoin,329,30185802,96.54,0.001420,1.07 ,0.007435
356,thorecoin,215,86686,2695.58,0.145105,"2,695.58 ","2,484.22"
357,irisnet,146,858552687,0.194640,0.008254,0.058566 ,0.045185
358,defichain,231,377503276,0.364281,0.164213,0.224176 ,0.189881
359,iostoken,108,15240542556,0.136496,0.001562,0.005617 ,0.004702
360,moviebloc,450,8428994508,0.006122,0.000768,0.001581 ,0.001376
361,stratis,157,100014473,22.66,0.008483,0.479492 ,0.386179
362,pirate-chain,405,171255416,0.296761,0.012739,0.087149 ,0.074519
363,dent,367,84903941183,0.111397,0.000070,0.000223 ,0.000190
364,solana,118,45789034,4.94,0.505153,1.98 ,1.36
365,orchid,102,367584352,0.943733,0.105902,0.264140 ,0.207812
366,uma,37,55359617,27.63,1.16,8.29 ,6.93
367,huobi-btc,,,,,,
368,voyager-token,170,222295208,10.00,0.016992,0.175354 ,0.141244
369,gnosis-gno,136,1104590,461.17,7.05,56.25 ,39.32
370,steem,123,391141671,8.57,0.069192,0.164257 ,0.144648
371,insight-chain,207,349902689,2.74,0.100907,1.28 ,1.21
372,strong,225,4711723,316.12,20.14,31.67 ,20.14
373,bridge-oracle,264,8002167205,0.018532,0.001104,0.005234 ,0.001104
374,unobtanium,377,202932,124.99,0.967222,82.18 ,74.77
375,gemini-dollar,360,16663944,1.23,0.852120,1.03 ,0.995195
376,electroneum,142,10204336501,0.236234,0.001428,0.005098 ,0.004282
377,certik,340,22100000,1.94,0,1.94 ,0.784121
378,function-x,419,229564530,0.858698,0.032590,0.070576 ,0.055561
379,ergo,410,22967728,6.78,0.093979,1.04 ,0.474521
380,12ships,379,4916867536,0.054702,0.002884,0.003580 ,0.003098
381,nxt,496,998999942,2.16,0.000616,0.009992 ,0.009159
382,nexus,453,64671957,15.86,0.000716,0.220920 ,0.171363
383,polkadot-new,"$747,937,402 USD",852647705,6.84,2.69,4.93,3.88
384,matic-network,125,4277526101,0.045017,0.003012,0.017891 ,0.013009
385,just,128,2260326706,0.092028,0.004766,0.027025 ,0.022769
386,wbnb,238,2493552,32.28,27.50,32.28 ,27.76
387,kleros,180,553590265,0.197945,0.003805,0.080087 ,0.052736
388,salus,373,1012265,99.76,0.016917,18.15 ,11.20
389,bitkan,413,6438772037,0.009636,0.001176,0.002404 ,0.002150
390,zap,468,236144465,1.83,0.001334,0.059368 ,0.045187
391,agoras-tokens,361,29861811,3.98,0.053976,0.580353 ,0.380708
392,enjin-coin,83,823130411,0.493384,0.015620,0.153090 ,0.127470
393,content-value-network,452,925000000,0.035189,0.001845,0.020747 ,0.010428
394,populous,463,53252246,76.49,0.143015,0.231792 ,0.181919
395,decred,69,12186118,99.74,0.394796,12.80 ,11.47
396,peepcoin,1643,141420540478,0.001407,2.10e-7,0.000131 ,0.000001
397,reserve-rights,84,9349999000,0.031370,0.001247,0.017534 ,0.010807
398,thorchain,120,158432088,1.18,0.007939,0.513793 ,0.375771
399,pivx,356,56781166,9.20,0.000422,0.371220 ,0.296561
400,baer-chain,235,174000000,18.66,0.283683,0.450666 ,0.353763
401,abbc-coin,57,699949361,2.05,0.029351,0.565434 ,0.339477
402,jewel,455,54710245,3.30,0.033246,0.228892 ,0.164179
403,metaverse,435,79205941,6.24,0.059532,0.198456 ,0.150987
