,coin_name,coin_mean,gecko_mean,mean_diff,coin_std,gecko_std,std_diff,coin_range,gecko_range,range_diff
0,DAG,154138.2083,154214.5365,0.0004951932479416852,37724.8593,38064.8821,0.009013229109644583,180787.0,181525.0,0.004082151924640599
1,LAMB,7175170.5573,7354666.349,0.025016240417780923,1770354.823,1522722.4475,-0.13987725640240203,5557994.0,4773910.0,-0.14107320015098973
2,ZT,1944379.0,1942490.6927,-0.0009711621551148135,320721.3529,319588.9919,-0.003530669192309881,1112902.0,1110379.0,-0.0022670459752970164
3,ENG,173880.3073,152728.9635,-0.12164312410322026,31560.8149,48098.5007,0.5239942584625721,183293.0,185563.0,0.012384542781230053
4,WOM,2784531.4115,2910598.6771,0.04527414023032652,587781.4433,464210.5051,-0.21023279929735753,3229385.0,1867853.0,-0.4216072100415404
5,NOIA,160536.7865,140467.4844,-0.12501372761687865,36113.3866,30933.1578,-0.14344345096673922,147506.0,140860.0,-0.045055794340569194
6,GAS,1574646.6823,1711283.1719,0.08677279235772596,287948.7835,99725.3748,-0.6536697478355556,1277575.0,402256.0,-0.6851409897657672
7,RING,2472339.3021,2704515.901,0.09390968250304065,411821.93,445735.4281,0.0823499081265537,1827108.0,1663282.0,-0.08966410305247419
8,COS,1075784.2448,680061.1823,-0.36784612194573385,399907.5305,199696.3552,-0.5006436739255151,1109399.0,523869.0,-0.5277902720301713
9,PRQ,253986.7552,284446.3177,0.11992579091777775,214367.4946,246460.5793,0.14971059282977695,932619.0,1082688.0,0.1609113689513081
10,FSN,3129692.8438,3240656.4271,0.03545510337214775,350707.296,219890.5413,-0.3730083639320694,1432794.0,764808.0,-0.46621217006771387
11,XCM,18244.8438,18337.1294,0.005058174299086238,8307.9351,8398.2924,0.010876023814870637,33000.0,33054.47,0.0016506060606060959
12,PPT,1444713.6875,1146492.5,-0.20642234518872446,92092.8644,214442.2753,1.328543874676136,376526.0,779568.0,1.070422759650064
13,ZNN,377038.4583,365868.4948,-0.029625528256091993,16503.4747,31154.3004,0.8877418826230576,68730.0,144188.0,1.0978902953586498
14,BZ,3108550.474,4042087.849,0.30031276082152497,139498.0509,135088.7072,-0.03160864020358866,508985.0,483417.0,-0.050233307464856526
15,ARRR,707046.0521,38889.9115,-0.9449966358139007,411970.222,5340.1739,-0.9870374759756301,1426801.0,20170.0,-0.9858634806115218
16,GRS,2120076.974,2046682.724,-0.03461867229354664,1180099.9464,1131126.2559,-0.04149961251112554,3141248.0,2913719.0,-0.0724326764394279
17,LTO,1966788.6094,2122305.3698,0.07907141604172849,499343.3747,477432.128,-0.043880118992595016,2307051.0,1421498.0,-0.3838463042212764
18,QASH,186518.6823,1321042.776,6.0826297918790315,48769.8916,112543.7979,1.3076491295707535,159999.0,373300.0,1.3331395821223884
19,BEL,2417112.5312,1785323.2448,-0.2613818257300341,238220.5186,204552.9859,-0.1413292729688483,802502.0,850119.0,0.059335677668093036
20,ETP,257579.4219,214048.1146,-0.16900149468034809,28313.7368,13542.215,-0.5217086640432428,116102.0,58440.0,-0.4966494978553341
21,B2B,7319.5469,4210.642,-0.4247400750994574,5817.2706,6030.5463,0.036662502858299244,18513.0,18493.64,-0.0010457516339869596
22,DUSK,371193.6875,423515.3229,0.14095507860704132,178156.2633,139115.3252,-0.2191387345964839,642335.0,455566.0,-0.2907657219363728
23,PNT,1342713.2188,1655784.8229,0.23316341845490748,446210.7327,541443.9222,0.21342648780263201,1948796.0,1508677.0,-0.2258414939275327
24,ARPA,4990339.8594,4794009.2448,-0.03934213302730953,356015.6172,476184.368,0.33753786349347836,1368923.0,1611649.0,0.1773116530294253
25,KAN,587284.6667,666455.7604,0.13480871915977113,36589.5581,27705.1864,-0.24281166981352537,189835.0,124010.0,-0.34674849211157055
26,AERGO,3355589.2552,3256771.2865,-0.02944876776764811,611202.1431,573307.8366,-0.061999629627934705,1814479.0,1732946.0,-0.0449346616852551
27,ZAP,390562.5938,635632.9792,0.6274804328176294,245110.0981,18929.8863,-0.9227698636378621,659092.0,86054.0,-0.8694355264515424
28,NKN,1453695.0625,1413579.6979,-0.027595446689494395,224741.7186,138462.0799,-0.38390575295707463,888854.0,547750.0,-0.38375706246470176
29,DGD,72522.3594,71428.6146,-0.015081483959552486,2867.5542,2436.2909,-0.15039412332642224,9571.0,9648.0,0.008045136349388778
30,XVS,4745716.1719,5112997.5104,0.07739218385514075,1913447.1527,1973072.5499,0.031161245878081684,6130364.0,6124460.0,-0.000963074949546226
31,NXS,179024.8385,108947.3971,-0.39143976884526,126001.2497,51592.1959,-0.5905421888843376,850135.0,331508.2,-0.6100522858134296
32,COCOS,749593.8594,682569.6979,-0.08941396819025214,66298.5849,48470.0526,-0.268912712494411,221408.0,195927.0,-0.11508617574794046
33,BOT,5105318.2396,5541259.1562,0.0853895675334347,2121987.8016,1832754.126,-0.13630317543857456,9135880.0,9176991.0,0.0044999496490759515
34,CHR,4410129.5052,3283896.25,-0.25537419113702986,2844305.7543,1537906.7086,-0.4593033093312826,12681305.0,7502116.0,-0.4084113582947496
35,EMC2,1029474.6615,1029026.6406,-0.00043519371263321097,1307600.0421,1306192.6889,-0.0010762872091528914,3057331.0,3059501.0,0.0007097694034437226
36,ACH,4961653.5417,5289033.0052,0.06598192734509842,743381.1632,802454.0219,0.07946510030697009,2211876.0,2593563.0,0.17256256679850046
37,1ST,465.4427,465.9635,0.0011189347260146274,187.9361,123.6059,-0.3422982598872702,710.0,405.78,-0.4284788732394367
