,name,rank,all_time_high,all_time_low,7_days_high,7_days_low
0,foam,403,0.09001725,0.00532239,0.02217851,0.02000846
1,monacoin,91,16.45,0.02094446,1.38,1.28
2,loom-network,307,0.772485,0.00786348,0.02081533,0.01801763
3,unibright,144,0.593642,0.00793962,0.388711,0.339889
4,santiment-network-token,389,7.94,0.04644234,0.144829,0.129578
5,dash,32,1493.59,0.213899,73.32,66.87
6,cartesi,475,0.126902,0.02670608,0.03635316,0.02887528
7,compound-ether,39,9.75,1.89,8.25,7.74
8,hegic,240,0.258533,0.04329329,0.119924,0.08170911
9,spankchain,,,,,
10,iota,30,5.25,0.08163737,0.286875,0.258605
11,hycon,483,0.05465023,0.00096603,0.00293036,0.00225881
12,renbtc,52,13826.18,8877.48,13634.01,12919.89
13,mstable-usd,161,1.21,0.836303,1.00,0.990159
14,arpa-chain,338,0.07576248,0.00339441,0.01738525,0.01335833
15,status,99,0.684918,0.00592935,0.02419872,0.02212440
16,iot-chain,453,8.51,0.00720174,0.106078,0.08719393
17,presearch,437,0.814159,0.00050180,0.01646681,0.01602200
18,etherisc,287,0.142071,0.00226715,0.123525,0.101895
19,monero,14,542.33,0.216177,134.04,124.20
20,nimiq,286,0.01363641,0.00028326,0.00277421,0.00205607
21,safe2,317,551.40,68.94,243.67,154.46
22,storj,147,2.82,0.05023979,0.414225,0.329705
23,iost,105,0.129829,0.00160309,0.00550527,0.00492587
24,terra-krw,103,0.00093036,0.00008404,0.00093036,0.00087390
25,bittorrent,65,0.00184155,0.00013814,0.00033367,0.00030285
26,barnbridge,420,185.69,33.21,176.90,128.75
27,dune,374,0.371098,0.00108289,0.01993421,0.01364325
28,origintrail,220,0.364390,0.00385262,0.134861,0.09131601
29,sand,244,0.08099974,0.03342761,0.04079219,0.03528016
30,gochain,451,0.115975,0.00413163,0.00671405,0.00583123
31,bitcoin,1,19665.39,67.81,13655.19,12928.07
32,vidt-datalink,295,1.22,0.04289720,0.366974,0.320261
33,bitcoin-cash,5,3785.82,76.93,275.04,259.29
34,sushi,121,168.91,0.554417,0.687106,0.622304
35,crypto-com-coin,16,0.190943,0.01211960,0.101977,0.08873653
36,effect-ai,446,0.151193,0.00225723,0.03347266,0.02857026
37,avalanche,97,6.98,3.23,4.26,3.78
38,bzx-protocol,299,1.64,0.09835426,0.131876,0.103384
39,bitcoin-sv,10,438.61,42.02,181.17,166.09
40,medibloc,313,0.291672,0.00161437,0.00578567,0.00512965
41,force-protocol,231,0.131906,0.01018611,0.03248164,0.02778428
42,bitcoin-diamond,97,147.18,0.260892,0.536852,0.480872
43,idex,217,0.409674,0.00563813,0.05674023,0.05014028
44,ignis,281,20.25,0.01125398,0.02280704,0.02151901
45,kava,157,5.49,0.287137,1.93,1.45
46,hypercash,165,37.13,0.604271,1.10,0.929136
47,suku,361,0.529154,0.03459299,0.123663,0.08092812
48,lto-network,319,0.232689,0.01589931,0.06609037,0.05462745
49,eos,13,22.71,0.502400,2.70,2.63
50,celer-network,315,0.02895706,0.00095575,0.00437025,0.00362836
51,nkn,351,0.535141,0.00667819,0.01932943,0.01693798
52,salt,411,17.22,0.04169861,0.125312,0.08608953
53,defipulse-index,309,159.08,63.97,80.45,66.62
54,reserve-rights-token,86,0.03104175,0.00121354,0.01681984,0.01188035
55,seth,365,532.47,0.01254476,408.49,386.12
56,crdt,216,0.239456,0.00035063,0.154119,0.143645
57,energy-web-token,63,13.65,0.543628,6.95,6.11
58,bytecoin,226,0.145166,0.00000632,0.00014005,0.00012208
59,troy,495,0.01166996,0.00133200,0.00301023,0.00255073
60,divi,110,0.111980,0.00164792,0.03566912,0.03172562
61,cnns,467,0.01640245,0.00204164,0.00368263,0.00310873
62,zcoin,179,139.77,0.279591,4.25,3.40
63,swissborg,142,0.171378,0.00502687,0.07328538,0.06503259
64,edgeware,183,5.16,0.00140039,0.00784139,0.00645014
65,huobi-token,25,6.07,0.908620,4.50,4.23
66,bread,524,2.78,0.06127247,0.08819996,0.06710034
67,0x,58,2.50,0.120667,0.379188,0.332097
68,uquid-coin,115,8.44,0.02606502,7.16,6.66
69,steem-dollars,461,14.18,0.233940,1.01,0.977519
70,zb-token,160,0.783399,0.111496,0.269525,0.258764
71,bancor-network,169,10.72,0.120935,0.938812,0.625748
72,bounce-token,377,956.66,94.02,500.27,396.93
73,vitae,94,4.35,0.04961781,4.27,3.74
74,wings,463,2.08,0.00122790,0.100591,0.06294662
75,gatetoken,95,1.19,0.257540,0.510079,0.478353
76,injective-protocol,358,1.22,0.663149,1.19,0.680862
77,alpha-finance,484,0.07756444,0.02720966,0.03452762,0.02883261
78,nano,88,33.69,0.02617900,0.862975,0.761077
79,everex,494,6.13,0.09412077,0.252664,0.230548
80,proximax,367,0.03614025,0.00037618,0.00158890,0.00134495
81,dify-finance,370,2001.60,484.86,1061.53,620.40
82,wagerr,428,0.934216,0.00621028,0.03472829,0.03000592
83,monolith,366,4.39,0.00005800,0.309606,0.264405
84,ravencoin,104,0.07889511,0.00893232,0.01253988,0.01132525
85,waykichain,195,2.83,0.09565367,0.193765,0.173003
86,gnosis,136,441.99,6.88,54.99,40.97
87,band-protocol,89,17.51,0.203625,6.03,4.62
88,whale,237,14.41,0.149698,6.45,5.82
89,nebulas,328,13.38,0.150242,0.320797,0.274253
90,xrp,4,3.40,0.00268621,0.256077,0.242287
91,pumapay,421,0.00225773,0.00007624,0.00031327,0.00023791
92,ultiledger,227,0.03717303,0.00608351,0.01334758,0.01285434
93,wink,223,0.00049642,0.00004185,0.00008252,0.00008043
94,bitmax-token,186,0.307045,0.01307461,0.04447227,0.04300798
95,constellation,129,0.05403990,0.00110189,0.01085253,0.01007958
96,aragon,84,10.61,0.301888,3.35,3.01
97,btse-token,293,3.20,0.989904,2.33,2.13
98,coinmetro,401,0.122404,0.01235123,0.03967798,0.03582809
99,theta-network,34,0.797625,0.04039979,0.721658,0.592823
100,btu-protocol,212,1.22,0.08838742,0.406441,0.349792
101,verus-coin,258,0.421587,0.02490626,0.365984,0.335139
102,bella-protocol,322,9.99,0.779780,0.916581,0.785297
103,iqeon,375,1.99,0.07605308,1.94,1.75
104,ren,60,0.595017,0.01548000,0.339212,0.256884
105,metal,260,17.03,0.117252,0.323884,0.294421
106,hedera-hashgraph,69,0.325084,0.00986111,0.03302866,0.02952361
107,harmony,204,0.03042139,0.00127355,0.00481039,0.00415807
108,top-network,477,0.03518782,0.00070552,0.00158619,0.00131305
109,quarkchain,219,0.338765,0.00137714,0.00499582,0.00458065
110,distx,556,0.255503,0.05882341,0.156979,0.116571
111,algorand,64,3.56,0.105336,0.308512,0.256468
112,linka,490,0.02299821,0.00007284,0.00462991,0.00431658
113,enigma,205,8.19,0.07053982,0.602383,0.395171
114,ampleforth,80,4.07,0.155869,1.28,1.04
115,waltonchain,406,41.15,0.144959,0.331636,0.268619
116,pnetwork,329,1.39,0.366985,0.440107,0.410570
117,vertcoin,310,9.80,0.00634731,0.651441,0.266747
118,instar,342,0.117194,0.00467988,0.05210384,0.04679096
119,trustswap,331,1.65,0.03124961,0.238853,0.186428
120,beam,274,10.03,0.155794,0.252346,0.235575
121,nash-exchange,335,3.31,0.409860,0.971682,0.841832
122,eterbase,,,,,
123,xplosive-ethereum,384,14.50,1.73,3.63,2.17
124,streamr-datacoin,230,0.454557,0.00472426,0.04267168,0.03703830
125,bluzelle,298,0.783089,0.00654948,0.08712600,0.06570721
126,sylo,502,0.00746127,0.00152722,0.00237804,0.00195202
127,ardor,138,2.04,0.00874500,0.05510015,0.04886788
128,nest-protocol,108,0.237647,0.01014946,0.05155975,0.04241794
129,akropolis,266,0.06167709,0.00053110,0.01232386,0.00899153
130,ethereum,2,1448.18,0.432979,411.96,386.45
131,aave-dai,185,1.71,0.901359,1.01,0.998173
132,elrond,83,21.14,6.51,9.27,7.38
133,wrapped-bitcoin,18,14024.71,3139.17,13644.36,12919.55
134,kadena,400,0.966701,0.06581137,0.216470,0.169374
135,digixdao,344,596.85,0.00000004,78.87,74.27
136,wirex,247,0.03501342,0.00659465,0.00893505,0.00865519
137,blocknet,408,59.66,0.01759274,1.28,0.928544
138,bytom,90,1.16,0.03706362,0.06341549,0.05945213
139,powerpool-concentrated-voting-power,332,17.27,1.28,2.31,1.46
140,telos,478,0.273826,0.01256633,0.01887483,0.01707913
141,groestlcoin,321,2.60,0.00007701,0.185453,0.177568
142,kyber-network,71,5.80,0.116184,0.932611,0.816529
143,cream,284,289.47,9.36,34.35,20.78
144,wax,141,2.77,0.01594711,0.03920067,0.03540568
145,dmarket,426,1.83,0.04941027,0.143583,0.137745
146,axel,278,0.311988,0.07674447,0.189055,0.177381
147,bitcoin-rhodium,532,50.61,0.573290,4.39,3.58
148,zenon,303,12.44,0.233719,2.74,2.52
149,civic,277,1.35,0.01102541,0.02987330,0.02637898
150,obyte,251,1185.39,7.76,27.89,25.99
151,lamden,486,0.498623,0.00363671,0.03870444,0.03299971
152,fantom,162,0.05519529,0.00190227,0.02566220,0.01677017
153,locktrip,456,3.89,0.120860,0.402822,0.361450
154,aeternity,181,5.69,0.05913542,0.111490,0.09919620
155,digix-gold,452,108.83,6.00,61.20,59.93
156,hive,153,0.970450,0.08730906,0.145446,0.120362
157,yuan-chain-coin,230,0.04018770,0.00360686,0.00786612,0.00732588
158,aave-old,132,0.889126,0.00329759,0.406497,0.290187
159,compound,44,372.79,61.32,108.83,96.58
160,fio-protocol,385,0.424098,0.07415680,0.09977147,0.07623916
161,sharetoken,151,0.05189976,0.00008787,0.02105970,0.01783937
162,orbs,302,0.04906033,0.00469039,0.01436791,0.01230874
163,wazirx,250,0.226659,0.04757088,0.09324900,0.08673819
164,apm-coin,156,1.07,0.03753211,0.177472,0.122280
165,newscrypto-coin,269,0.284788,0.01445461,0.188182,0.175156
166,howdoo,513,0.126607,0.00117046,0.02380828,0.01696932
167,dego-finance,437,2.13,0.424159,1.42,1.18
168,neblio,459,49.25,0.212643,0.421545,0.351941
169,contentos,268,0.08468527,0.00419724,0.00664258,0.00575235
170,redfox-labs,207,0.02696929,0.01152142,0.01923048,0.01715827
171,kulupu,389,2.77,0.121279,0.334556,0.150393
172,orion-protocol,267,6.94,0.543143,1.69,1.44
173,covesting,362,2.38,0.00361482,0.494477,0.435410
174,rio-defi,475,0.260951,0.04347502,0.07386935,0.04569009
175,syndicate,,,,,
176,wrapped-nxm,166,77.47,8.14,28.24,22.91
177,noia-network,253,0.147845,0.00214757,0.07361902,0.06166435
178,tbtc,330,14012.78,9161.48,13653.06,12976.66
179,aurora,403,0.06104356,0.00066127,0.00331283,0.00180519
180,susd,124,2.45,0.429697,1.01,0.995508
181,qtum,62,100.22,0.783142,2.31,2.04
182,odem,469,0.550241,0.00380546,0.02814993,0.01838630
183,paxos-standard,40,1.13,0.908175,1.00,0.997487
184,darico-ecosystem-coin,,,,,
185,chainlink,6,19.83,0.148183,12.73,11.27
186,pchain,455,0.919666,0.00002812,0.00879501,0.00786459
187,harvest-finance,228,5078.47,67.46,244.97,86.31
188,ankr-network,168,0.01805371,0.00070728,0.00980814,0.00739850
189,decentraland,98,0.267814,0.00923681,0.07430226,0.06665798
190,syscoin,238,1.03,0.00020971,0.04522456,0.04022115
191,nuco-cloud,377,1.57,1.02,1.55,1.31
192,lambda,218,0.276180,0.00707425,0.01797580,0.01512586
193,dia,210,5.13,0.801169,1.43,1.16
194,serum,137,3.75,0.109876,1.10,1.00
195,mxc,199,0.04256155,0.00110900,0.01537000,0.01224747
196,dynamic,381,7.53,0.00863199,0.500970,0.351046
197,electra,480,0.00829072,0.00000001,0.00018716,0.00016374
198,dragonchain,347,5.46,0.02048850,0.05426474,0.03820444
199,elastos,214,89.14,0.852971,1.65,1.51
200,litecoin,9,360.66,1.15,59.08,54.80
201,crypterium,248,1.58,0.07275838,0.243748,0.212220
202,swag-finance,351,0.358136,0.06868011,0.185035,0.08947190
203,ieth,429,771.05,44.93,245.15,214.97
204,aave-link,51,19.78,4.30,12.67,11.47
205,phantasma,436,0.770462,0.00960482,0.08393385,0.06702191
206,ontology,46,10.92,0.232370,0.548185,0.453283
207,yam,386,41.40,0.570769,1.09,0.799286
208,cosmos,23,8.84,1.16,5.54,4.63
209,sbtc,209,16350.76,4107.15,13871.37,12852.84
210,universa,473,0.05375490,0.00005226,0.00203549,0.00177362
211,district0x,417,0.429949,0.00216748,0.00997291,0.00872384
212,request-network,318,1.06,0.00454707,0.02144644,0.01733782
213,mx-token,233,0.434823,0.04218457,0.165021,0.159153
214,quant,68,16.56,0.215773,16.17,13.15
215,helium,171,3.87,0.113248,1.07,0.883831
216,dxdao,446,523.77,24.14,140.96,125.47
217,nervos-network,106,0.01282004,0.00248711,0.00411241,0.00378982
218,filecoin,28,208.95,20.95,38.96,24.70
219,buysell,349,50.08,0.00053583,3.07,2.11
220,genesis-vision,506,39.96,0.375161,1.40,1.12
221,tael,529,5.31,0.04397804,0.09468432,0.07206802
222,dforce-token,333,1.50,0.07160974,0.09916210,0.07880619
223,siacoin,82,0.09286775,0.00001262,0.00280612,0.00250679
224,golem,107,1.32,0.00913753,0.09502602,0.08362263
225,peercoin,476,9.45,0.09963495,0.233666,0.199403
226,crypto20,241,3.89,0.01643348,0.731581,0.629546
227,cherry,348,3.97,0.954482,3.48,2.20
228,cocos-bcx,343,0.00792066,0.00018783,0.00027316,0.00026400
229,linkeye,413,0.103824,0.00100386,0.01153495,0.00966925
230,ark,152,10.22,0.03394030,0.330840,0.295051
