,name,deeplinks
0,cryptaldash,https://coinmarketcap.com/currencies/cryptaldash
1,bitcoin,https://www.coingecko.com/en/coins/bitcoin
2,zbg-token,https://coinmarketcap.com/currencies/zbg-token
3,ethereum,https://www.coingecko.com/en/coins/ethereum
4,lto-network,https://coinmarketcap.com/currencies/lto-network
5,tether,https://www.coingecko.com/en/coins/tether
6,casinocoin,https://coinmarketcap.com/currencies/casinocoin
7,xrp,https://www.coingecko.com/en/coins/xrp
8,synchrobitcoin,https://coinmarketcap.com/currencies/synchrobitcoin
9,bitcoin-cash,https://www.coingecko.com/en/coins/bitcoin-cash
10,function-x,https://coinmarketcap.com/currencies/function-x
11,chainlink,https://www.coingecko.com/en/coins/chainlink
12,proton,https://coinmarketcap.com/currencies/proton
13,binance-coin,https://www.coingecko.com/en/coins/binance-coin
14,b2bx,https://coinmarketcap.com/currencies/b2bx
15,polkadot,https://www.coingecko.com/en/coins/polkadot
16,medibloc,https://coinmarketcap.com/currencies/medibloc
17,litecoin,https://www.coingecko.com/en/coins/litecoin
18,gas,https://coinmarketcap.com/currencies/gas
19,bitcoin-sv,https://www.coingecko.com/en/coins/bitcoin-sv
20,wixlar,https://coinmarketcap.com/currencies/wixlar
21,cardano,https://www.coingecko.com/en/coins/cardano
22,project-pai,https://coinmarketcap.com/currencies/project-pai
23,usd-coin,https://www.coingecko.com/en/coins/usd-coin
24,pirate-chain,https://coinmarketcap.com/currencies/pirate-chain
25,eos,https://www.coingecko.com/en/coins/eos
26,drep,https://coinmarketcap.com/currencies/drep
27,monero,https://www.coingecko.com/en/coins/monero
28,bitkan,https://coinmarketcap.com/currencies/bitkan
29,crypto-com-coin,https://www.coingecko.com/en/coins/crypto-com-coin
30,bit-z-token,https://coinmarketcap.com/currencies/bit-z-token
31,tron,https://www.coingecko.com/en/coins/tron
32,envion,https://coinmarketcap.com/currencies/envion
33,stellar,https://www.coingecko.com/en/coins/stellar
34,agoras-tokens,https://coinmarketcap.com/currencies/agoras-tokens
35,tezos,https://www.coingecko.com/en/coins/tezos
36,sentivate,https://coinmarketcap.com/currencies/sentivate
