,name,deeplinks
0,envion,https://coinmarketcap.com/currencies/envion
1,darcio-ecosystem-coin,https://coinmarketcap.com/currencies/darcio-ecosystem-coin
2,huobi-btc,https://coinmarketcap.com/currencies/huobi-btc
3,eterbase-utility-token,https://coinmarketcap.com/currencies/eterbase-utility-token
4,spankchain,https://www.coingecko.com/en/coins/spankchain
5,eterbase,https://www.coingecko.com/en/coins/eterbase
6,syndicate,https://www.coingecko.com/en/coins/syndicate
7,darico-ecosystem-coin,https://www.coingecko.com/en/coins/darico-ecosystem-coin
8,huobi-btc,https://www.coingecko.com/en/coins/huobi-btc
9,te-food,https://www.coingecko.com/en/coins/te-food
